,description
0,"The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run."
1,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle."
2,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare."
3,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee."
4,An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.
5,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process."
6,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin."
7,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend."
8,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two."
9,"A young girl named Burma attends a beach party with her boyfriend and after she smokes marijuana with a bunch of other girls, she gets pregnant and another girl drowns while skinny dipping in the ocean. Burma and her boyfriend go to work for the pusher in order to make money so they can get married. However, during a drug deal her boyfriend is killed leaving Burma to fend for herself. Burma then becomes a major narcotics pusher in her own right after giving up her baby for adoption."
10,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
11,A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.
12,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine."
13,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives."
14,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter."
15,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor."
16,A seductive woman gets an innocent professor mixed up in murder.
17,The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.
18,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons née Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?"
19,"After divorcing a society man, a small-town woman tries to build a better life for their daughter."
20,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.
21,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him."
22,"The story of the life and career of the baseball hall of famer, Lou Gehrig."
23,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel."
24,"France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results."
25,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much."
26,A couple struggle to find happiness after a whirlwind courtship.
27,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.
28,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder."
29,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day."
30,"French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind."
31,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches."
32,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though ""happily ever after"" is not to be."
33,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community."
34,The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.
35,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues."
36,"Walter Mitty, a daydreaming writer with an overprotective mother, likes to imagine that he is a hero who experiences fantastic adventures. His dream becomes reality when he accidentally meets a mysterious woman who hands him a little black book. According to her, it contains the locations of the Dutch crown jewels hidden since World War II. Soon, Mitty finds himself in the middle of a confusing conspiracy, where he has difficulty differentiating between fact and fiction."
37,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple."
38,"Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers."
39,"A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved."
40,"Mobster ""Baby Face"" Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums."
41,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement."
42,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot."
43,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career."
44,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie."
45,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island."
46,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.
47,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock."
48,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses."
49,"Sam Tucker, a cotton picker, in search of a better future for his family, decides to grow his own cotton crop. In the first year, the Tuckers battle disease, a flood, and a jealous neighbor. Can they make it as farmers?"
50,"During the Nazi occupation of Czechoslovakia, surgeon Dr. Franticek Svoboda, a Czech patriot, assassinates the brutal ""Hangman of Europe"", Reichsprotektor Reinhard Heydrich, and is wounded in the process. In his attempt to escape, he is helped by history professor Stephen Novotny and his daughter Mascha."
51,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on."
52,"In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet ""A"" on her dress for bearing a child out of wedlock."
53,"In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her."
54,"The youngsters Matahi and Reri are in love with each other. The old warrior Hitu announces that Reri is to be the new chosen virgin for the gods. This means she must stay untouched, otherwise she and her lover will be killed. But Matahi abducts and escapes with her to an island ruled by the white man, where their gods would be harmless and powerless."
55,The Berlin Air Lift from the point of view of two NCOs.
56,"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states."
57,"John Breen (John Wayne), a Kentucky militiaman falls in love with French exile Fleurette De Marchand (Vera Ralston). He discovers a plot to steal the land that Fleurette's exiles plan to settle on and aims to foil it."
58,"As a penalty for fighting fellow classmates days before graduating from West Point, J.E.B. Stuart, George Armstrong Custer and four friends are assigned to the 2nd Cavalry, stationed at Fort Leavenworth. While there they aid in the capture and execution of the abolitionist, John Brown following the Battle of Harper's Ferry."
59,Detective Tracy (Morgan Conway) rescues Tess Trueheart (Anne Jeffreys) and Junior from a killer called Splitface (Mike Mazurki).
60,"Frank Johnson, a sole witness to a gangland murder, goes into hiding and is trailed by Police Inspector Ferris, on the theory that Frank is trying to escape from possible retaliation. Frank's wife, Eleanor, suspects he is actually running away from their unsuccessful marriage. Aided by a newspaperman, Danny Leggett, Eleanor sets out to locate her husband. The killer is also looking for him, and keeps close tabs on Eleanor."
61,A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.
62,"When a small-town girl is diagnosed with a rare, deadly disease, an ambitious newspaper man turns her into a national heroine."
63,"While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose."
64,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop."
65,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines"
66,The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home.
67,The adventurous and remarkable life of the US writer Jack London (1876-1916).
68,The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.
69,A doctor's research into the roots of evil turns him into a hideous depraved fiend.
70,"Patsy Brand is a chorus girl at the Pleasure Garden music hall. She meets Jill Cheyne who is down on her luck and gets her a job as a dancer. Jill meets adventurer Hugh Fielding and they get engaged, but when Hugh travels out of the country, she begins to play around."
71,"One night on a lonely highway, a speeding car tosses a satchel of money, meant for somebody else, into Jane and Alan Palmer's back seat. Alan wants to turn it over to the police, but Jane persuades him to hang onto it 'for a while'. Soon, the Palmers are traced by one Danny Fuller, a sleazy character who claims the money is his."
72,U.S. Treasury Department agents go after a ring of counterfeiters.
73,"A  story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike."
74,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path."
