,genres
0,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']"
1,"['action', 'drama', 'war', 'western', 'comedy', 'european']"
2,"['romance', 'war', 'drama']"
3,"['comedy', 'drama', 'romance']"
4,"['thriller', 'drama', 'romance']"
5,"['western', 'drama']"
6,"['drama', 'family', 'fantasy', 'romance', 'comedy']"
7,"['thriller', 'drama', 'crime']"
8,"['comedy', 'romance', 'drama']"
9,"['crime', 'drama']"
10,"['history', 'drama']"
11,"['thriller', 'crime', 'drama']"
12,['horror']
13,"['drama', 'crime']"
14,"['thriller', 'horror', 'action']"
15,"['drama', 'romance']"
16,"['drama', 'thriller', 'crime']"
17,"['drama', 'romance', 'family', 'action', 'comedy']"
18,"['romance', 'drama']"
19,"['drama', 'romance']"
20,"['romance', 'drama']"
21,"['drama', 'war', 'action', 'romance']"
22,"['drama', 'romance', 'sport']"
23,"['scifi', 'drama', 'war']"
24,"['drama', 'romance']"
25,"['thriller', 'drama']"
26,"['comedy', 'drama', 'romance']"
27,"['romance', 'family', 'fantasy']"
28,"['crime', 'comedy', 'thriller', 'drama']"
29,"['fantasy', 'family', 'action']"
30,"['romance', 'drama', 'comedy']"
31,"['fantasy', 'comedy', 'drama', 'romance']"
32,"['drama', 'romance']"
33,"['romance', 'drama', 'family']"
34,"['comedy', 'drama', 'family']"
35,"['drama', 'sport']"
36,"['romance', 'comedy', 'fantasy']"
37,"['thriller', 'romance', 'drama']"
38,"['drama', 'romance', 'war', 'action']"
39,['comedy']
40,"['crime', 'drama', 'romance']"
41,"['romance', 'comedy', 'drama']"
42,['western']
43,"['comedy', 'drama', 'thriller', 'crime', 'romance']"
44,['horror']
45,"['romance', 'drama']"
46,"['fantasy', 'thriller', 'scifi']"
47,"['thriller', 'war', 'drama']"
48,"['history', 'comedy', 'drama', 'romance']"
49,['drama']
50,"['thriller', 'war', 'drama']"
51,"['drama', 'romance', 'war']"
52,"['drama', 'history', 'romance']"
53,"['horror', 'drama', 'romance']"
54,"['drama', 'romance', 'action']"
